,,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked
Country,,AT,BE,CH,DE,DK,FI,FR,GB,IE,MT,NL,NO,SE
InventorySku,zone,,,,,,,,,,,,,
A523,21,,,,,,,4.0,,,,,,
A524,21,,637.0,,,,,12.0,,,,,,
A527,21,,,398.0,,,,,,,,,,
A528,21,,,,,,152.0,,,,,,,320.0
A529,21,21.0,,48.0,66.0,,,,,,,,,
A530,21,19.0,,41.0,33.0,,,,,,,,,
A531,21,,,,,,,,,,,,166.0,
A532,21,3.0,,6.0,26.0,,,,,,,,,
A534,21,11.0,,18.0,32.0,,,,,,,,,
A535,21,5.0,,10.0,16.0,,,,,,,,,
A537,21,4.0,,9.0,9.0,,,,,,,,,
A538,21,29.0,,28.0,36.0,,,,,,,,,
A539,21,13.0,,21.0,39.0,,,,,,,,,
A540,21,5.0,,5.0,15.0,,,,,,,,,
A541,21,33.0,,51.0,83.0,,,,,,,,,
A542,21,,24.0,29.0,10.0,9.0,1.0,30.0,,4.0,3.0,9.0,7.0,5.0
A543,21,,,,,,222.0,,,,,,,307.0
A544,21,12.0,,30.0,42.0,,,,,,,,,
A545,21,10.0,,12.0,12.0,,,,,,,,,
A546,21,6.0,,21.0,10.0,,,,,,,,,
A547,21,8.0,,21.0,25.0,,,,,,,,,
A548,21,,,3.0,9.0,,,,,,,,,
A549,21,5.0,,16.0,8.0,,,,,,,,,
A550,21,42.0,,63.0,84.0,,,,,,,,,
A551,21,4.0,,10.0,24.0,,,,,,,,,
A552,21,13.0,,17.0,27.0,,,,,,,,,
A553,21,50.0,,77.0,111.0,,,,,,,,,
A557,21,,566.0,,,,,,,,,,,
A559,21,,1107.0,,,,,,,,,,,
A560,21,,2.0,,,,,,,,,2.0,,
A561,21,,2.0,,,,,,,,,2.0,,
A562,21,,,,,,,,,,,1.0,,
A563,21,,,,,,,,,,,1.0,,
A564,21,,4.0,,,,,,,,,,,
A565,21,,,,,,,,,,,14.0,,
A566,21,,,,,,,,,,,4.0,,
A567,21,,29.0,,,,,,,,,,,
A568,21,,12.0,,,,,,,,,2.0,,
A569,21,,12.0,,,,,,,,,2.0,,
A570,21,,11.0,,,,,,,,,,,
A571,21,,2.0,,,,,,,,,,,
A572,21,,48.0,,,,,,,,,7.0,,
A573,21,,163.0,,,,,,,,,29.0,,
A574,21,,16.0,,,,,,,,,,,
A576,21,9.0,,22.0,29.0,,,,,,,,,
A577,21,,,,1.0,,,,,,,,,
A578,21,,,1.0,1.0,,,,,,,,,
A579,21,,3053.0,,,,,3586.0,,,,,,
A580,21,,,,,,,,,,,1.0,,
A582,21,,,,,,,,,,,239.0,,
A583,21,,,,4.0,,,,,,,,,
A584,21,,,951.0,,,,,,,,,,
A585,21,,75.0,,,,,56.0,,,,,,
A586,21,,22.0,,,,,24.0,,,,,,
A587,21,,16.0,,,,,6.0,,,,,,
A588,21,9.0,39.0,38.0,36.0,3.0,1.0,47.0,,,,8.0,18.0,11.0
A589,21,,,,,,,15.0,,,,,,
